Company Name,Job Title,Salary Range,Tags,Posted Before
Worldcoin.Org,Data Scientist,$50k - $135k,data science:remote,16d
Worldcoin.Org,"Senior Project Manager, Economics",,project manager:non tech:senior,22d
Worldcoin.Org,Senior Technical Project Manager,,project manager:non tech:senior:ethereum:rust,2mo
Worldcoin.Org,Product Design Manager,,executive:design:non tech:ethereum:rust,2mo
Worldcoin.Org,Fraud Prevention Team Lead,,security:lead:ethereum:rust:remote,2mo
Worldcoin.Org,Senior Technical Program Manager,,executive:senior:ethereum:rust:remote,2mo
Worldcoin.Org,"Engineering Manager, Orb Backend",$140k - $180k,executive:backend:remote,2mo
Worldcoin.Org,Senior Infrastructure Engineer,$65k - $150k,dev:senior:golang,3mo
Worldcoin.Org,"Senior Software Engineer, Backend",$70k - $200k,backend:dev:senior:golang:rust,3mo
Worldcoin.Org,"Supply Chain Specialist, Procurement",$80k - $110k,operations:remote,4mo
Worldcoin.Org,"Supply Chain Specialist, Logistics",$80k - $110k,operations:remote,4mo
Worldcoin.Org,Operational Buyer,$80k - $110k,operations:remote,4mo
Worldcoin.Org,Global Commodity Manager,$56k - $160k,remote,4mo
Worldcoin.Org,Global Commodity Buyer,$56k - $160k,remote,4mo
Worldcoin.Org,Head of Communications,$79k - $200k,executive:remote,5mo
Worldcoin.Org,Rust Engineer,$75k - $190k,dev:rust,5mo
Worldcoin.Org,Staff Accountant,$11k - $25k,accounting:remote,5mo
Worldcoin.Org,Head of Finance,$90k - $200k,executive:finance,5mo
Worldcoin.Org,"Team Lead, Data Science",$50k - $120k,data science:lead:remote,5mo
Worldcoin.Org,Statistician,,,5mo
Worldcoin.Org,Machine Learning Infrastructure Engineer,$140k - $180k,dev:machine learning,5mo
Worldcoin.Org,"Team Lead, Presentation Attack Detection",$100k - $220k,lead:rust,6mo
Worldcoin.Org,Head of Fraud Monitoring,$95k - $250k,executive:security,6mo
Worldcoin.Org,"Data Scientist, Security",,data science:security:rust,6mo
Worldcoin.Org,Technical Recruiter,$40k - $70k,recruiter:non tech,6mo
Worldcoin.Org,People Operations Generalist,$80k - $110k,operations:remote,6mo
Worldcoin.Org,Technical Program Manager,,executive:rust,6mo
Worldcoin.Org,Regional Logistics Specialist,,,6mo
Worldcoin.Org,Inventory Specialist,$56k - $160k,remote,6mo
Worldcoin.Org,Experimental Economist,$56k - $160k,remote,6mo
Worldcoin.Org,"Research Engineer, Contrastive Learning",$65k - $180k,dev:remote,6mo
Worldcoin.Org,Iris Recognition Specialist,,,6mo
Worldcoin.Org,Data Scientist,$50k - $150k,data science,6mo
Worldcoin.Org,Market Designer,$50k - $135k,design:non tech:remote,6mo
Worldcoin.Org,Crypto Economist,$39k - $140k,crypto,6mo
Worldcoin.Org,Embedded C Software Engineer,,c:c plus plus:embedded:dev:rust,6mo
Worldcoin.Org,"Technical Program Manager, Firmware",$70k - $180k,executive,6mo
Worldcoin.Org,Supplier Industrialization Engineer,$60k - $180k,dev,6mo
Worldcoin.Org,"Regional Growth Manager, Latin America",$25k - $120k,marketing:non tech:remote,6mo
Worldcoin.Org,"Regional Growth Manager, Europe",$45k - $130k,marketing:non tech,6mo
Worldcoin.Org,"Regional Growth Manager, Asia",$45k - $130k,marketing:non tech,6mo
Worldcoin.Org,Program Manager - Inflow Management,$79k - $200k,executive:remote,6mo
Worldcoin.Org,Launch Marketer,$25k - $120k,marketing:non tech:remote,6mo
Worldcoin.Org,Head of Growth Operations,$70k - $158k,executive:marketing:non tech:operations:remote,6mo
Worldcoin.Org,Associate Growth Specialist,$25k - $120k,marketing:non tech:remote,6mo
Worldcoin.Org,"Machine Learning Engineer, Data Quality",$140k - $180k,dev:machine learning,6mo
Worldcoin.Org,Senior Blockchain Engineer,$80k - $200k,dev:senior:blockchain:solidity:golang,6mo
Worldcoin.Org,Blockchain Developer (Crypto),$65k - $160k,dev:blockchain:crypto:solidity:ethereum,6mo
