Company Name,Job Title,Salary Range,Tags,Posted Before
Zaubar,"Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,28d
Zaubar,"Internship: Account Manager (Software, AR, SaaS, Metaverse)",,account manager:intern:entry level:metaverse:saas,29d
Zaubar,"AR Game Developer (Metaverse, Unity)",$70k - $130k,dev:game dev:metaverse:remote,1mo
Zaubar,"3D Web Entwickler // 3D Web Developer (AR, XR, WebGL)",,vfx:dev:javascript:remote,1mo
Zaubar,"Internship: Sales Development Representative (Metaverse, SaaS, AR, Culture)",,intern:entry level:metaverse:saas:sales,1mo
Zaubar,"Internship: Business Developer (Metaverse, AR)",$12k - $33k,dev:intern:entry level:metaverse:remote,1mo
Zaubar,IOS & Android Developer (Platform of the future),,android:mobile:dev:ios:remote,1mo
Zaubar,"Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,1mo
Zaubar,"Internship: Business Developer (Metaverse, AR)",$12k - $33k,dev:intern:entry level:metaverse:remote,1mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,1mo
Zaubar,"Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,1mo
Zaubar,"Internship: Account Manager (Software, AR, SaaS, Metaverse)",,account manager:intern:entry level:metaverse:saas,1mo
Zaubar,"Internship: Sales Development Representative (Metaverse, SaaS, AR, Culture)",,intern:entry level:metaverse:saas:sales,1mo
Zaubar,"Internship: Business Developer (Metaverse, AR)",$12k - $33k,dev:intern:entry level:metaverse:remote,1mo
Zaubar,UI/UX Designer (Making Time Travel Possible. ⏳),$50k - $135k,design:non tech:remote,1mo
Zaubar,"AR Game Developer (Metaverse, Unity)",$70k - $130k,dev:game dev:metaverse:remote,1mo
Zaubar,UI/UX Designer (Making Time Travel Possible. ⏳),$50k - $135k,design:non tech:remote,1mo
Zaubar,XR Designer (Let&apos;s take the metaverse to the streets 🛸),$65k - $80k,design:non tech:metaverse:remote,1mo
Zaubar,"3D Web Entwickler // 3D Web Developer (AR, XR, WebGL)",,vfx:dev:javascript:remote,2mo
Zaubar,IOS & Android Developer (Platform of the future),,android:mobile:dev:ios:remote,2mo
Zaubar,"Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Account Manager (Software, AR, SaaS, Metaverse)",,account manager:intern:entry level:metaverse:saas,2mo
Zaubar,UI/UX Designer (Making Time Travel Possible. ⏳),$50k - $135k,design:non tech:remote,2mo
Zaubar,"Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,2mo
Zaubar,"Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,2mo
Zaubar,"Software Developer (SaaS, Media, Immersive Realities)",,dev:saas:remote,2mo
Zaubar,"Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Software Developer (SaaS, Media, Immersive Realities)",,dev:saas:remote,2mo
Zaubar,"AR Game Developer (Metaverse, Unity)",$70k - $130k,dev:game dev:metaverse:remote,2mo
Zaubar,WebGL Developer for Immersive Experiences & AR,$60k - $180k,dev:javascript:remote,2mo
Zaubar,IOS & Android Developer (Platform of the future),,android:mobile:dev:ios:remote,2mo
Zaubar,"Internship: Business Developer (Metaverse, AR)",$12k - $33k,dev:intern:entry level:metaverse:remote,2mo
Zaubar,"Internship: Sales Development Representative (Metaverse, SaaS, AR, Culture)",,intern:entry level:metaverse:saas:sales,2mo
Zaubar,"Internship: Business Developer (Metaverse, AR)",$12k - $33k,dev:intern:entry level:metaverse:remote,2mo
Zaubar,"Internship: Sales Development Representative (Metaverse, SaaS, AR, Culture)",,intern:entry level:metaverse:saas:sales,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,WebGL Developer for Immersive Experiences & AR,$60k - $180k,dev:javascript:remote,2mo
Zaubar,"Software Developer (SaaS, Media, Immersive Realities)",,dev:saas:remote,2mo
Zaubar,"Internship: Augmented & Immersive Reality Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Zaubar,"Internship: Sales Development Representative (Metaverse, SaaS, AR, Culture)",,intern:entry level:metaverse:saas:sales,2mo
Zaubar,Metaverse Designer (Next-gen Platform 🕶),$65k - $80k,design:non tech:metaverse:remote,2mo
Zaubar,Metaverse & AR Web Developer (WebGL),$40k - $100k,dev:metaverse:javascript:remote,2mo
Zaubar,"3D Web Entwickler // 3D Web Developer (AR, XR, WebGL)",,vfx:dev:javascript:remote,2mo
Zaubar,Metaverse & AR Web Developer (WebGL),$40k - $100k,dev:metaverse:javascript:remote,2mo
