Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Coinbase,https://web3.career/director-product-coinbase/2300,"Director, Product",$79k - $200k,executive:remote,5mo
Coinbase,https://web3.career/director-product-coinbase/2299,"Director, Product",$79k - $200k,executive:remote,5mo
Coinbase,https://web3.career/technical-sourcer-remote-coinbase/2298,Technical Sourcer (Remote),,remote:recruiter:non tech,5mo
Coinbase,https://web3.career/technical-recruiter-coinbase/2297,Technical Recruiter,,recruiter:non tech:remote,5mo
Coinbase,https://web3.career/technical-recruiter-coinbase/2296,Technical Recruiter,,recruiter:non tech:remote,5mo
Coinbase,https://web3.career/senior-technical-sourcer-contract-coinbase/2295,Senior Technical Sourcer - Contract,$40k - $70k,recruiter:non tech:senior:remote,5mo
Coinbase,https://web3.career/senior-technical-sourcer-coinbase/2294,Senior Technical Sourcer,$40k - $70k,recruiter:non tech:senior:remote,5mo
Coinbase,https://web3.career/senior-technical-recruiter-coinbase/2293,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:remote,5mo
Coinbase,https://web3.career/senior-recruiter-coinbase/2292,Senior Recruiter,$40k - $70k,recruiter:non tech:senior:remote,5mo
Coinbase,https://web3.career/sw-engineer-hr-workday-functional-enterprise-apps-coinbase/2291,"SW Engineer, HR (Workday Functional), Enterprise Apps",$100k - $150k,dev:hr:non tech,5mo
Coinbase,https://web3.career/staff-software-engineer-salesforce-platform-coinbase/2290,"Staff Software Engineer, Salesforce Platform",,dev:salesforce:remote,5mo
Coinbase,https://web3.career/senior-engineering-manager-product-coinbase/2289,"Senior Engineering Manager, Product",$95k - $250k,executive:senior:remote,5mo
Coinbase,https://web3.career/senior-engineering-manager-backend-coinbase/2288,"Senior Engineering Manager, Backend",,executive:backend:senior:remote,5mo
Coinbase,https://web3.career/senior-engineering-manager-coinbase/2287,Senior Engineering Manager,$95k - $250k,executive:senior:remote,5mo
Coinbase,https://web3.career/site-reliability-engineer-crypto-coinbase/2286,Site Reliability Engineer - Crypto,,dev:sys admin:crypto:ruby:node,5mo
Coinbase,https://web3.career/infrastructure-solutions-architect-coinbase/2285,Infrastructure Solutions Architect,,architecture:ruby:remote,5mo
Coinbase,https://web3.career/staff-frontend-engineer-coinbase/2284,Staff Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,5mo
Coinbase,https://web3.career/staff-frontend-engineer-coinbase/2283,Staff Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,5mo
Coinbase,https://web3.career/senior-frontend-engineer-coinbase/2282,Senior Frontend Engineer,$70k - $190k,dev:front end:senior:react:react native,5mo
Coinbase,https://web3.career/senior-frontend-engineer-coinbase/2281,Senior Frontend Engineer,$70k - $190k,dev:front end:senior:react:react native,5mo
Coinbase,https://web3.career/frontend-engineer-coinbase/2280,Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,5mo
Coinbase,https://web3.career/software-engineer-machine-learning-platform-coinbase/2279,"Software Engineer, Machine Learning Platform",,dev:machine learning:scala:java:remote,5mo
Coinbase,https://web3.career/machine-learning-engineer-coinbase/2278,Machine Learning Engineer,$140k - $180k,dev:machine learning:remote,5mo
Coinbase,https://web3.career/applied-machine-learning-engineer-coinbase/2277,Applied Machine Learning Engineer,$140k - $180k,dev:machine learning:remote,5mo
Coinbase,https://web3.career/staff-software-engineer-remote-usa-coinbase/2276,Staff Software Engineer (Remote - USA),$60k - $150k,remote:dev:ethereum:ruby:golang,5mo
Coinbase,https://web3.career/staff-blockchain-engineer-smart-contract-coinbase/2275,Staff Blockchain Engineer - Smart Contract,$50k - $150k,dev:blockchain:smart contract:solidity:ethereum,5mo
Coinbase,https://web3.career/senior-backend-engineer-coinbase/2274,Senior Backend Engineer,$70k - $200k,backend:dev:senior:ethereum:ruby,5mo
Coinbase,https://web3.career/protocol-engineer-bison-trails-coinbase/2273,Protocol Engineer-Bison Trails,$80k - $160k,dev:node:rust:remote,5mo
Coinbase,https://web3.career/site-reliability-engineer-institutional-coinbase/2272,Site Reliability Engineer - Institutional,,dev:sys admin:ruby,5mo
Coinbase,https://web3.career/senior-product-designer-coinbase/2271,Senior Product Designer,$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,https://web3.career/senior-content-designer-platform-coinbase/2270,"Senior Content Designer, Platform",$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,https://web3.career/product-designer-coinbase/2269,Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/product-designer-coinbase/2268,Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/manager-product-design-coinbase/2267,"Manager, Product Design",$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/technical-account-manager-apac-coinbase/2266,Technical Account Manager (APAC),,account manager:remote,5mo
