Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
BitMEX,https://web3.career/communications-intern-bitmex/8043,"Hong Kong,
Hong Kong",Communications Intern,,intern:entry level,6mo
Galaxy Digital Services,https://web3.career/vp-corporate-communications-galaxydigitalservices/8042,,VP Corporate Communications,$70k - $180k,executive,6mo
Chainalysis,https://web3.career/software-engineer-university-grad-chainalysis/8041,"New York,
United States","Software Engineer, University Grad",$33k - $140k,dev:java,6mo
BitMEX,https://web3.career/senior-software-engineer-marketing-technology-bitmex/8040,"Singapore,
Singapore",Senior Software Engineer - Marketing Technology,$85k - $120k,dev:marketing:non tech:senior:react,6mo
SALT,https://web3.career/frontend-software-engineer-fullstack-a-plus-saltlending/8039,,Frontend Software Engineer (Fullstack a plus),$65k - $150k,dev:front end:full stack:react:ethereum,6mo
Kraken Digital Asset Exchange,https://web3.career/hr-director-mergers-and-acquisitions-kraken/8037,Remote,HR Director - Mergers and Acquisitions,,executive:hr:non tech:remote,6mo
Binance,https://web3.career/global-ad-operations-marketing-specialist-manager-binance/8036,Remote,Global Ad Operations Marketing Specialist/ Manager,,marketing:non tech:operations:remote,6mo
Binance,https://web3.career/growth-marketing-manager-taiwan-binance/8034,"Taipei,
Taiwan",Growth Marketing Manager - Taiwan,$45k - $130k,marketing:non tech,6mo
Binance,https://web3.career/regional-community-manager-binance-smart-chain-binance/8033,Remote,Regional Community Manager - Binance Smart Chain,$40k - $101k,community manager:non tech:remote,6mo
RECUR,https://web3.career/principal-software-engineer-nft-blockchain-engineering-remote-recur/8032,,Principal Software Engineer - NFT/Blockchain Engineering (Remote),$95k - $300k,remote:dev:executive:blockchain:nft,6mo
Ripple,https://web3.career/staff-platform-engineer-ripple/8024,"San Francisco,
United States",Staff Platform Engineer,$33k - $140k,dev:java,6mo
Shakepay,https://web3.career/product-manager-card-remote-canada-shakepay/8023,"Montreal,
Canada",Product Manager - Card (Remote - Canada),$115k - $175k,remote:product manager:non tech,6mo
Chainlink Labs,https://web3.career/marketing-operations-associate-chainlink/7991,Remote,Marketing Operations Associate,,marketing:non tech:operations:remote,6mo
Chainlink Labs,https://web3.career/community-manager-south-korea-chainlink/7990,Remote,"Community Manager, South Korea",$40k - $101k,community manager:non tech:remote,6mo
BitMEX,https://web3.career/senior-trading-technology-engineer-bitmex/7989,"Hong Kong,
Hong Kong",Senior Trading Technology Engineer,$50k - $200k,dev:senior:java,6mo
Okcoin,https://web3.career/product-marketing-manager-okcoin/7988,"San Francisco,
United States",Product Marketing Manager,$45k - $130k,marketing:non tech,6mo
Liquid,https://web3.career/strategy-and-project-operation-manager-liquid/7987,"Ho Chi Minh City,
Vietnam",Strategy and Project Operation Manager,,,6mo
Binance,https://web3.career/creative-designer-binance/7986,"Taipei,
Taiwan",Creative Designer,$50k - $150k,design:non tech,6mo
Rarible,https://web3.career/head-of-developer-relations-rarible/7985,Remote,Head of Developer Relations,,executive:customer support:dev:nft:remote,6mo
Binance,https://web3.career/content-writer-binance/7984,Africa,Content Writer,$13k - $45k,copywriting,6mo
Chainalysis,https://web3.career/global-intelligence-operations-analyst-chainalysis/7983,"New York,
United States",Global Intelligence Operations Analyst,,analyst:operations,6mo
Amun 21Shares,https://web3.career/corporate-recruiter-amun/7982,"New York,
United States",Corporate Recruiter,$40k - $70k,recruiter:non tech,6mo
Qubit9 GmbH,https://web3.career/technical-co-founder-cto-tech-lead-m-f-d-decentralized-data-cloud-business-qubit9/7981,"Hamburg,
Germany",Technical Co-Founder / CTO / Tech-Lead (m/f/d) - Decentralized Data Cloud Business,,cloud:executive:lead:tech lead:cto,6mo
Bitcoin Depot,https://web3.career/graphic-designer-bitcoindepot/7978,"Atlanta,
United States",Graphic Designer,$50k - $150k,design:non tech,6mo
Polygon,https://web3.career/blockchain-developer-integration-support-polygon/7977,,Blockchain Developer - Integration & Support,,dev:customer support:blockchain:solidity:ethereum,6mo
CoinList,https://web3.career/general-interest-opportunistic-coinlist/7976,"San Francisco,
United States",General Interest - Opportunistic,$78k - $180k,solana,6mo
Figment,https://web3.career/full-stack-engineer-datahub-figment/7975,"Toronto,
Canada","Full Stack Engineer, DataHub",$60k - $250k,dev:full stack:ruby:golang,6mo
CoinDesk & TradeBlock Opportunities,https://web3.career/senior-content-marketing-manager-coindesk-coindesk/7974,"New York,
United States","Senior Content Marketing Manager, CoinDesk",$46k - $109k,marketing:non tech:senior,6mo
Figment,https://web3.career/customer-success-associate-datahub-figment/7973,"Toronto,
Canada","Customer Success Associate, DataHub",$40k - $80k,customer support,6mo
CANDY,https://web3.career/senior-blockchain-engineer-smart-contracts-candy/7972,"New York,
United States",Senior Blockchain Engineer (Smart Contracts),$80k - $200k,dev:senior:blockchain:smart contract:solidity,6mo
Bitcoin Depot,https://web3.career/business-development-representative-bitcoindepot/7971,"Charlotte,
United States",Business Development Representative,$29k - $43k,sales:non tech:ethereum,6mo
BlockFi,https://web3.career/blockchain-engineer-blockfi/7969,"New York,
United States",Blockchain Engineer,$79k - $190k,dev:blockchain:rust,6mo
Immutable,https://web3.career/senior-crypto-product-manager-immutable/7968,"Sydney,
Australia",Senior Crypto Product Manager,$80k - $150k,product manager:non tech:senior:crypto:ethereum,6mo
Binance,https://web3.career/international-tax-manager-binance/7967,Europe,International Tax Manager,$25k - $150k,accounting,6mo
BlockFi,https://web3.career/engineer-cryptographic-systems-blockfi/7965,"New York,
United States","Engineer, Cryptographic Systems",$80k - $160k,dev:node:rust,6mo
