Company Name,Page Link,Number of Jobs
Binance,https://web3.career/web3-companies/binance/,701
Crypto.Com,https://web3.career/web3-companies/crypto-com/,656
Coinbase,https://web3.career/web3-companies/coinbase/,467
Ripple,https://web3.career/web3-companies/ripple/,367
Consensys,https://web3.career/web3-companies/consensys/,336
Okcoin,https://web3.career/web3-companies/okcoin/,320
Sygnum Bank Ag,https://web3.career/web3-companies/sygnum/,298
Chainalysis,https://web3.career/web3-companies/chainalysis/,286
Candy,https://web3.career/web3-companies/candy/,286
Gemini,https://web3.career/web3-companies/gemini/,251
Bit Go,https://web3.career/web3-companies/bitgo/,246
Chainlink Labs,https://web3.career/web3-companies/chainlink/,205
Gsr,https://web3.career/web3-companies/gsr/,204
Polygon,https://web3.career/web3-companies/polygon/,203
Swiss Borg,https://web3.career/web3-companies/swissborg/,201
Recur,https://web3.career/web3-companies/recur/,188
Kraken,https://web3.career/web3-companies/kraken/,180
Block Fi,https://web3.career/web3-companies/blockfi/,178
Blockchain,https://web3.career/web3-companies/blockchain/,148
Bitfury,https://web3.career/web3-companies/bitfury/,140
Figure,https://web3.career/web3-companies/figure/,140
Bitcoin Depot,https://web3.career/web3-companies/bitcoindepot/,138
Immutable,https://web3.career/web3-companies/immutable/,135
Meta Mask,https://web3.career/web3-companies/metamask/,131
Parity Technologies,https://web3.career/web3-companies/parity/,127
Open Sea,https://web3.career/web3-companies/opensea/,126
Bit Mex,https://web3.career/web3-companies/bitmex/,112
Nuri,https://web3.career/web3-companies/nuri/,112
Ledger,https://web3.career/web3-companies/ledger/,111
Alchemy,https://web3.career/web3-companies/alchemy/,98
Near,https://web3.career/web3-companies/near/,98
Woo Network,https://web3.career/web3-companies/woonetwork/,97
Ok Ex,https://web3.career/web3-companies/okex/,96
Blockdaemon,https://web3.career/web3-companies/blockdaemon/,92
Figment,https://web3.career/web3-companies/figment/,"
89"
Iota Foundation,https://web3.career/web3-companies/iota/,86
Coin Flip,https://web3.career/web3-companies/coinflip/,84
Coindesk,https://web3.career/web3-companies/coindesk/,81
Stellar,https://web3.career/web3-companies/stellar/,78
Next Big Thing Ag,https://web3.career/web3-companies/nextbigthing/,78
Newton,https://web3.career/web3-companies/newton/,73
Moon Pay,https://web3.career/web3-companies/moonpay/,72
Ava Labs,https://web3.career/web3-companies/avalabs/,70
Voodoo,https://web3.career/web3-companies/voodoo/,68
Dfinity,https://web3.career/web3-companies/dfinity/,68
Bittrex,https://web3.career/web3-companies/bittrex/,67
Cake Pte Ltd,https://web3.career/web3-companies/cakedefi/,65
Wirex Limited,https://web3.career/web3-companies/wirexlimited/,63
