"Company Name","Job Link","Job Title","Job Location","Posted Before","Source URL","Source Name"
"Huobi Global","https://sg.linkedin.com/jobs/view/investment-intern-june-dec-22-at-huobi-global-3032743916?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=jhsM4abIqteJ7PZ64245XQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card","Investment Intern (June - Dec'22)","Singapore, Singapore","2022-04-21","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://in.linkedin.com/jobs/view/listing-business-development-manager-at-huobi-global-2953642402?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=uvJ95hEfuwsGCJibH%2BRKFg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card","Listing Business Development Manager","India","2022-04-11","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://sg.linkedin.com/jobs/view/operations-specialist-merchant-at-huobi-global-3044628735?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=%2BYwAQ1Lt6RCbeLc9Wd1W3w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card","Operations Specialist - Merchant","Singapore, Singapore","2022-04-28","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://hk.linkedin.com/jobs/view/cryptocurrency-research-assistant-intern-at-huobi-global-3028715827?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=MwzpturQRakAHmTn4BHrkQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card","Cryptocurrency research assistant(Intern)","Hong Kong SAR","2022-04-19","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://sg.linkedin.com/jobs/view/quantitative-risk-analyst-at-huobi-global-3038722654?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=6LzywNveHqGpqOMvC5sOTQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card","Quantitative Risk Analyst","Singapore, Singapore","2022-04-25","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://es.linkedin.com/jobs/view/marketing-manager-at-huobi-global-3049156372?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=7Pg9IjlwgLuDAiKw%2Bprriw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card","Marketing Manager","Spain","2022-04-30","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://sg.linkedin.com/jobs/view/operations-manager-blockchain-at-huobi-global-3059433711?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=2RK1WzyGXBwE2NWaQ26f0A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card","Operations Manager (Blockchain)","Singapore, Singapore","","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://my.linkedin.com/jobs/view/marketing-and-public-relations-manager-at-huobi-global-3027699292?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=9WUNc4DONrKP%2BcLO%2F84AHQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card","Marketing And Public Relations Manager","Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","2022-04-19","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://my.linkedin.com/jobs/view/marketing-and-public-relations-manager-at-huobi-global-3035664281?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=fnpyIJmuOT7Up8mzSYaAYw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card","Marketing And Public Relations Manager","Federal Territory of Kuala Lumpur, Malaysia","2022-04-22","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://br.linkedin.com/jobs/view/fiat-business-bd-manager-at-huobi-global-3026841310?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=QHLIAtJV0MrkI2yenQFdgw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card","Fiat business BD manager","Brazil","2022-04-18","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://tr.linkedin.com/jobs/view/fiat-business-bd-manager-at-huobi-global-3026838720?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=dXr9MfUIsaazMjru5tFXmg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card","Fiat business BD manager","Turkey","2022-04-18","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
"Huobi Global","https://sg.linkedin.com/jobs/view/project-management-specialist-blockchain-at-huobi-global-3027674929?refId=3VB0aMqJIs6F0bA5HuBZdw%3D%3D&trackingId=kBIDGeoHQeJEqvr8sjVAwA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card","Project Management Specialist - Blockchain","Singapore, Singapore","2022-04-19","https://www.linkedin.com/jobs/search/?f_C=9273983&geoId=92000000","LinkedIn"
